City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
411,Egvekinot,RU,66.3167,-179.1667,-12.62,93,55,2.24,broken clouds,2021-11-06 17:37:22
412,Acarau,BR,-2.8856,-40.12,87.3,60,49,17.94,scattered clouds,2021-11-06 17:37:22
413,Victoria,HK,22.2855,114.1577,79.32,86,15,3.0,few clouds,2021-11-06 17:34:35
414,Anderson,US,34.5334,-82.6499,55.26,48,1,5.01,clear sky,2021-11-06 17:37:23
415,Ouahigouya,BF,13.5828,-2.4216,93.92,16,30,8.43,scattered clouds,2021-11-06 17:37:23
416,Selaphum,TH,16.0299,103.9383,77.59,82,41,2.66,scattered clouds,2021-11-06 17:37:23
417,Airai,TL,-8.9266,125.4092,62.65,92,40,0.81,scattered clouds,2021-11-06 17:37:24
418,Neryungri,RU,56.6709,124.6491,1.0,91,58,4.16,broken clouds,2021-11-06 17:37:24
419,Lima,PE,-12.0432,-77.0282,67.14,72,90,4.61,overcast clouds,2021-11-06 17:36:34
420,Correia Pinto,BR,-27.5847,-50.3611,76.66,88,90,1.74,overcast clouds,2021-11-06 17:37:25
421,Mecca,SA,21.4267,39.8261,80.6,58,0,4.47,clear sky,2021-11-06 17:37:25
422,Viedma,AR,-40.8135,-62.9967,77.34,12,81,13.15,broken clouds,2021-11-06 17:37:26
423,Suntar,RU,62.1444,117.6319,15.06,92,100,6.13,overcast clouds,2021-11-06 17:37:26
424,Jedrzejow,PL,50.6394,20.3045,45.19,68,7,3.0,clear sky,2021-11-06 17:36:05
425,Ono,JP,34.85,134.9333,60.26,75,100,7.87,overcast clouds,2021-11-06 17:37:28
426,Erdenet,MN,49.0333,104.0833,10.06,64,67,4.18,broken clouds,2021-11-06 17:37:28
427,Oistins,BB,13.0667,-59.5333,86.09,66,40,20.71,scattered clouds,2021-11-06 17:37:28
428,Fereydun Kenar,IR,36.6864,52.5225,52.11,61,100,2.13,overcast clouds,2021-11-06 17:37:29
429,Perth,AU,-31.9333,115.8333,55.18,75,0,10.36,clear sky,2021-11-06 17:34:44
430,Jamundi,CO,3.2607,-76.535,85.28,60,90,1.12,overcast clouds,2021-11-06 17:37:29
431,Hwange,ZW,-18.3693,26.5019,86.4,23,46,2.01,scattered clouds,2021-11-06 17:37:30
432,Ludwigslust,DE,53.3167,11.5,49.82,81,100,13.62,overcast clouds,2021-11-06 17:37:30
433,Fortuna Foothills,US,32.6578,-114.4119,85.21,24,1,1.01,clear sky,2021-11-06 17:37:31
434,Camacha,PT,33.0833,-16.3333,66.96,60,75,17.27,broken clouds,2021-11-06 17:37:31
435,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,78,43,14.63,scattered clouds,2021-11-06 17:37:32
436,Mayo,US,38.8876,-76.5119,58.17,57,1,1.99,clear sky,2021-11-06 17:37:32
437,Newport,GB,51.5877,-2.9984,56.44,91,73,23.47,broken clouds,2021-11-06 17:37:32
438,Isangel,VU,-19.55,169.2667,71.92,85,100,8.19,overcast clouds,2021-11-06 17:37:33
439,Roma,US,43.2128,-75.4557,53.85,48,1,0.0,clear sky,2021-11-06 17:37:33
440,Pisco,PE,-13.7,-76.2167,71.02,77,0,11.5,clear sky,2021-11-06 17:37:34
441,Dickson,US,36.077,-87.3878,58.87,65,75,0.0,broken clouds,2021-11-06 17:37:34
442,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.19,69,99,4.99,overcast clouds,2021-11-06 17:37:35
443,Sorland,NO,67.667,12.6934,40.93,72,100,26.84,overcast clouds,2021-11-06 17:37:35
444,Ilhabela,BR,-23.7781,-45.3581,73.36,75,77,4.99,broken clouds,2021-11-06 17:37:36
445,Frankfort,ZA,-27.2667,28.4833,66.6,55,81,8.79,broken clouds,2021-11-06 17:37:36
446,Omsukchan,RU,62.5333,155.8,13.64,94,97,8.08,overcast clouds,2021-11-06 17:37:36
447,Havre-Saint-Pierre,CA,50.2334,-63.5986,45.19,70,20,19.57,few clouds,2021-11-06 17:37:37
448,Bacabal,BR,-4.2917,-44.7917,90.63,48,82,5.12,broken clouds,2021-11-06 17:37:37
449,Hay River,CA,60.8156,-115.7999,30.18,93,90,2.3,light snow,2021-11-06 17:35:12
450,Riyadh,SA,24.6877,46.7219,75.34,27,0,6.96,clear sky,2021-11-06 17:33:55
451,Whitehorse,CA,60.7161,-135.0538,30.97,100,90,10.0,overcast clouds,2021-11-06 17:37:38
452,Trinidad,BO,-14.8333,-64.9,69.78,78,75,14.97,broken clouds,2021-11-06 17:37:39
453,Lompoc,US,34.6391,-120.4579,59.31,100,90,0.0,mist,2021-11-06 17:37:39
454,Nuuk,GL,64.1835,-51.7216,29.01,80,75,10.36,broken clouds,2021-11-06 17:37:39
455,Guerrero Negro,MX,27.9769,-114.0611,74.35,55,4,6.38,clear sky,2021-11-06 17:33:32
456,Tripoli,LY,32.8752,13.1875,83.34,32,100,19.46,overcast clouds,2021-11-06 17:37:40
457,Kaohsiung,TW,22.6163,120.3133,79.03,82,75,1.01,broken clouds,2021-11-06 17:37:40
458,Kieta,PG,-6.2167,155.6333,79.5,81,84,4.34,broken clouds,2021-11-06 17:37:41
459,Sinnamary,GF,5.3833,-52.95,81.41,79,98,7.63,overcast clouds,2021-11-06 17:37:41
460,Turkistan,KZ,43.0,68.0,36.75,20,0,19.69,clear sky,2021-11-06 17:37:42
461,Killarney,IE,52.05,-9.5167,53.65,82,75,13.8,broken clouds,2021-11-06 17:34:44
462,Perambalur,IN,11.2333,78.8833,81.99,91,94,4.63,overcast clouds,2021-11-06 17:37:42
463,Balkhash,KZ,46.844,74.9804,30.25,26,3,5.19,clear sky,2021-11-06 17:37:43
464,Vila Velha,BR,-20.3297,-40.2925,76.95,75,75,5.99,broken clouds,2021-11-06 17:37:43
465,Hambantota,LK,6.1241,81.1185,79.07,80,100,10.74,moderate rain,2021-11-06 17:37:44
466,Kilimatinde,TZ,-5.85,34.95,80.6,25,90,7.25,overcast clouds,2021-11-06 17:37:44
467,Sur,OM,22.5667,59.5289,76.8,54,0,5.03,clear sky,2021-11-06 17:37:44
468,Saurimo,AO,-9.6608,20.3916,73.53,55,100,3.09,overcast clouds,2021-11-06 17:37:39
469,Maamba,ZM,-17.3667,27.15,84.18,24,69,4.56,broken clouds,2021-11-06 17:37:45
470,Baoqing,CN,46.3317,132.2111,23.04,35,100,4.79,overcast clouds,2021-11-06 17:37:45
471,Alenquer,BR,-1.9417,-54.7383,88.14,49,94,1.43,overcast clouds,2021-11-06 17:37:46
472,Shirpur,IN,21.35,74.8833,74.64,40,73,6.44,broken clouds,2021-11-06 17:37:46
473,Sandy Bay,AU,-42.913,147.3532,53.49,70,90,1.99,overcast clouds,2021-11-06 17:37:47
474,Fort Frances,CA,48.5999,-93.4003,53.17,68,1,5.99,clear sky,2021-11-06 17:37:47
