City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Langsa,ID,75.51,heavy intensity rain,4.4683,97.9683,Langsa
650,Arlit,NE,88.34,clear sky,18.7369,7.3853,Arlit
653,Maltahohe,,75.74,broken clouds,-24.8333,16.9833,Maltahohe
655,Mweka,CD,75.24,light rain,-4.85,21.5667,Mweka
657,Prado,BR,78.71,overcast clouds,-17.3411,-39.2208,Prado
658,Bubaque,GW,84.52,scattered clouds,11.2833,-15.8333,Bubaque
663,San Pedro Ayampuc,GT,75.04,overcast clouds,14.7867,-90.4511,San Pedro Ayampuc
666,Tahta,EG,78.28,clear sky,26.7693,31.5021,Tahta
667,Letlhakeng,BW,79.93,overcast clouds,-24.0944,25.0298,Letlhakeng
668,Ixtapa,MX,87.64,clear sky,20.7,-105.2,Puerto Vallarta
669,Sainte-Marie,RE,75.36,clear sky,-20.8968,55.5496,Saint Denis
671,Lagos,NG,84.52,overcast clouds,6.5833,3.75,Lekki
673,Taoudenni,ML,83.75,clear sky,22.6783,-3.9836,Taoudenni
675,Bonthe,SL,81.61,broken clouds,7.5264,-12.505,Bonthe
677,Saint-Paul,RE,75.31,clear sky,-21.0096,55.2707,Saint-Paul
678,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Nha Trang
680,Kidal,ML,89.46,clear sky,18.4411,1.4078,Kidal
681,Ishigaki,JP,77.81,broken clouds,24.3448,124.1572,Ishigaki
687,Galle,LK,78.94,overcast clouds,6.0367,80.217,Galle
690,Paracuru,BR,87.82,scattered clouds,-3.41,-39.0306,Paracuru
694,Pedernales,DO,85.71,few clouds,18.0384,-71.744,Anse-à-Pitres
702,Auki,SB,77.27,scattered clouds,-8.7676,160.7034,Auki
704,Balabac,PH,81.23,broken clouds,7.9868,117.0645,Balabac
705,Pandharpur,IN,76.73,broken clouds,17.6667,75.3333,Pandharpur
711,Manyana,BW,87.26,broken clouds,-23.4,21.7167,
